k,c,success_count,fail_count,avg_min_length,avg_max_force
14573.171861,885.740792202,4,996,0.345562395142,7168.60876536
26222.8454807,1460.39693071,17,983,0.398857280673,11916.22808
10899.6229814,1110.42132533,0,1000,0.357978463222,8790.09254116
6010.83979531,458.495651204,1,999,0.228386696618,3455.53617002
7772.27066357,1094.92804583,0,1000,0.347318327051,8577.08796041
10042.9801579,715.071110296,1,999,0.310496327837,5647.57749805
16884.2556178,1354.06903742,0,1000,0.384809176537,10821.2532265
22387.902012,888.585804692,415,585,0.360341926994,7388.06099162
20110.4344419,295.064035168,461,539,0.270881351425,5017.30287892
10076.5307431,855.777524639,0,1000,0.328300457562,6803.49930622
19971.6366436,1419.99500196,2,998,0.391852040968,11360.4562349
27011.6959603,1072.69891054,365,635,0.378683950788,9040.91801205
12390.8422015,974.095662195,0,1000,0.349117577891,7736.9562788
16413.3642746,247.691961398,439,561,0.241127178691,4565.11930442
15412.7486422,405.816614005,877,123,0.277379383621,4221.61955809
13108.6255583,1336.5923666,0,1000,0.378591630262,10634.0804727
13907.4460376,270.923134668,682,318,0.234941293309,4065.69745746
11803.3061928,1369.55982657,0,1000,0.378368722028,10804.384699
5013.0094147,1006.76617285,0,1000,0.32512304555,7801.10298607
12619.5314693,593.596394068,198,802,0.300891575948,4800.17889201
18352.235561,330.518190705,776,224,0.273602902543,4665.12406929
22310.9008012,778.761967175,662,338,0.349716932115,6537.22198013
11103.1380164,477.177266769,435,565,0.273659462689,3834.19767096
10469.105575,335.607464453,507,493,0.228346101648,3463.36924027
15095.9043234,881.342803157,13,987,0.346586191625,7111.43838498
11347.8853203,190.849145388,357,643,0.185711880834,3779.91314945
22407.6067648,445.626489247,964,36,0.306198583903,5196.50447323
8702.17322081,1097.17882357,0,1000,0.350445527247,8658.11136663
11669.5253949,1496.83668627,0,1000,0.386048105053,11710.4578176
15275.9254835,1467.26093345,0,1000,0.387289706596,11848.6752034
13626.7812136,146.271030342,131,869,0.188667252301,4370.81928573
22017.6364321,988.091880379,203,797,0.366718554781,8226.42146988
16194.5790791,843.308418105,72,928,0.343687571566,6925.75437758
19817.4181013,874.050324126,233,767,0.355278523383,7177.19684797
14241.3614956,213.194656312,404,596,0.219008514228,4247.76331946
25078.4938743,439.023911285,852,148,0.311806840198,5524.36484798
29585.5784139,758.420883053,999,1,0.358778444496,6632.52246408
25410.7969914,658.354220886,999,1,0.342159289439,5884.03281148
8767.93859081,1217.68317118,0,1000,0.361281425485,9546.65760431
22395.3202506,811.478294071,571,429,0.352374738216,6846.96852923
13148.9726644,1301.70232124,0,1000,0.376766058047,10287.8768624
22778.7383612,408.337467617,849,151,0.301158079137,5250.55685886
13716.649674,1233.30147218,0,1000,0.373105943849,9779.95822815
28513.0815311,234.647171875,73,927,0.281518701453,6486.3283052
17943.7836259,656.600827996,605,395,0.326224376355,5493.44089723
21892.2529215,1272.79414942,8,992,0.385495462666,10383.9264324
10226.7904458,1129.30257369,0,1000,0.356170971722,9051.82832281
22394.6099931,858.027164288,460,540,0.356167727569,7281.58912031
9373.87311633,419.970025672,338,662,0.247185801876,3420.44145533
17915.8972969,1475.03568003,0,1000,0.392640321758,11727.4185842
29906.342478,465.160847628,755,245,0.324826869257,6103.20727231
18957.336201,1451.58709193,0,1000,0.392147729509,11629.0244196
9717.67777713,1335.69088426,0,1000,0.372367606009,10487.3535469
22508.9457209,490.419892705,997,3,0.315713331761,5160.57797708
26408.1072475,1285.3255949,84,916,0.389384994713,10693.8235697
27194.252354,666.311376971,1000,0,0.345507111803,6067.40764965
28390.874919,1291.2998338,160,840,0.391841542327,10730.4795975
21724.7063009,1199.47690322,29,971,0.381705400279,9727.19112281
14307.0692325,912.961279566,5,995,0.347437607527,7376.96593039
29341.5960615,1416.18682038,113,887,0.399013318719,11621.3648756
12634.096483,497.489368498,535,465,0.284430627862,4093.42943227
16210.6034689,779.859248309,115,885,0.336118709025,6469.56513685
9398.13120305,1492.24045466,0,1000,0.380869803713,11781.7228932
17347.342896,125.305507797,15,985,0.208452842307,5148.89894502
14161.7196318,350.351790119,812,188,0.259523046138,4008.47246312
23023.4980004,1141.83872591,81,919,0.379083619554,9425.15823207
18563.505837,531.285112985,933,67,0.310076763836,4828.32267058
20908.3155296,812.339712244,460,540,0.350466358574,6776.67856997
19746.771178,450.646550434,989,11,0.301188711676,4825.00212649
17168.5537649,1470.44999943,0,1000,0.39114859653,11750.3909561
15859.8591447,1368.5382988,0,1000,0.384265373238,10909.7293444
21127.5839462,590.109772308,962,38,0.325530008639,5258.52080247
26604.1890933,1036.49368314,439,561,0.376650568477,8671.62720806
17479.8345363,422.259376867,935,65,0.288669122679,4515.36270363
24213.850418,900.805879709,523,477,0.36344139863,7564.306788
29863.7626598,161.045288924,8,992,0.271519068414,6952.42320918
11989.0084557,757.922319397,6,994,0.32309356111,6096.6889371
23692.9695039,1336.89162924,14,986,0.391250047464,10905.0972608
13268.7577054,1434.30057746,0,1000,0.384700045991,11314.6424215
19307.31173,873.870947864,195,805,0.352391252521,7305.67631574
6883.65646087,1472.46421742,0,1000,0.375752622038,11394.4647271
9772.77580291,527.975832208,108,892,0.276955264819,4133.79151195
17131.9968388,475.864796618,905,95,0.297726907377,4530.45308056
